Department,Course Number,Course Name,Term,Liberal Arts Requirements,Class Period,Professor,Description
ECON,270.0,Economics of the Public Sector,Fall 2019,"SOC, QRE, WRC",4/5c,Jenny  Bourne, Economics 110 and 111
ECON,282.0,The Theory of Investment Finance,Fall 2019,"SOC, QRE",2/3c,Yaniv  Ben-Ami,"This course provides an introduction to the main financial instruments that are used to fund economic activity. We will explore how investment products function and learn how to price a few of them. Attention will be given to the choices investors make, and should make, when allocating portfolios. Topics include bond pricing, stock pricing, option pricing, the mortgage market, hedge funds, private equity, optimal portfolios, defaults, financial intermediary capital, and investors' behavioral biases."
ECON,329.0,Econometrics,Fall 2019,"SOC, QRE",1a,Aaron M Swoboda," Mathematics 111 and either Mathematics 215 or 275, and Economics 110 and 111"
ECON,330.0,Intermediate Price Theory,Fall 2019,"SOC, QRE",2/3c,Jenny  Bourne, Economics 110 and 111 and Mathematics 111 
ECON,395.01,Advanced Topics in Economic Development,Fall 2019,"SOC, WRC, INS",3a,Faress Bhuiyan,"Students will be exposed to theoretical models of economic development both from a micro and a macro perspective. Econometric models including probits, logits, instrumental variables, ordered probits, and ordered logits will be applied to micro-level data to study theoretical models dealing with migration, poverty, inequality, nutrition, development program evaluation, and decision making in the context of developing countries. Economic development will also be explored from the perspective of the ""growth literature"" where macro level panel data will be explored using fixed-effects and random-effects panel regression models."
ECON,395.02,Advanced Topics in Macroeconomic Theory,Fall 2019,"SOC, WRC, QRE",4/5c,Yaniv  Ben-Ami,"This course focuses on the empirical analysis of the dynamics of aggregate economic activity and aggregate prices. Economic activity variables of interest include consumption, investment, research and development, growth, credit and default, unemployment, participation, migration, demographics, trade and capital flows, investment fund flows, and risk allocation. Price variables of interest include exchange rates, interest rates, inflation, commodity prices, insurance premiums, stock prices, option prices, and real-estate prices. Special attention will be given to the micro-foundations of theory and its empirical testing, as well as to the estimation and normative evaluation of public policy."
ECON,395.03,Advanced Topics in the Economics of Housing,Fall 2019,"SOC, WRC, QRE",4a,Aaron M Swoboda,"This seminar-style course focuses on the empirical analysis of topics in housing economics. Specific areas of study depend on student interest, but may include: determinants of housing supply and demand, hedonic analysis, land use regulation, rent control, spatial segregation, housing policy, housing as an investment, and the recent subprime mortgage crisis. Class time is primarily devoted to student-led presentation and discussion of peer-reviewed journal articles."
ECON,110.01,Principles of Macroeconomics,Winter 2020,"SOC, QRE",4/5c,Bruce R Dalgaard,
ECON,110.02,Principles of Macroeconomics,Winter 2020,"SOC, QRE",2a,Ethan L Struby,
ECON,111.01,Principles of Microeconomics,Winter 2020,"SOC, QRE",4a,Jonathan M Lafky,
ECON,111.02,Principles of Microeconomics,Winter 2020,"SOC, QRE",5a,Mark T Kanazawa,
ECON,111.03,Principles of Microeconomics,Winter 2020,"SOC, QRE",2a,Nathan D Grawe,
ECON,201.0,Analysis of Microeconomic Development Models,Winter 2020,"SOC, QRE, WRC",5a,Faress Bhuiyan,"This course is the second part of a two-term winter break course sequence beginning with Economics 240. This course will focus on critically analyzing the appropriateness of modern microeconomic development models in the context of Bangladesh. Students exposed to various on-site visits and lectures in Bangladesh during the winter break will be required to research, write and present their views on the reliability of different model assumptions and implications they studied in Economics 240."
ECON,233.0,World Economic History,Winter 2020,"SOC, WRC, INS",4/5c,Jenny  Bourne,"This course surveys world economic history from Paleolithic times to today. It helps students understand the fundamental forces that drive economic growth and living standards. We address questions such as: How did economic systems function during the ancient and medieval periods? What caused the Industrial Revolution, allowing billions of humans to escape the “Malthusian trap”? Why haven’t all countries experienced economic growth?  Finally, what lessons can we learn from the past to help us better understand what the future may hold? The course focuses on long-term trends, but we will also examine short-run cyclical phenomena such as financial crises."
ECON,257.0,Economics of Gender,Winter 2020,"SOC, QRE",3a,Prathi Seneviratne,"This course uses economic theory and empirical evidence to examine gender differentials in education, marriage, fertility, earnings, labor market participation, occupational choice, and household work. Trends and patterns in gender-based outcomes will be examined across time, across countries, and within socio-economic groups, using empirical evidence from both historical and recent research. The impact of government and firm policies on gender outcomes will also be examined. By the end of the course, students will be able to utilize the most common economic tools in the study of gender inequality, as well as understand their strengths and weaknesses."
ECON,263.0,"Entrepreneurship, Innovation, and Economic Performance",Winter 2020,SOC,2/3c,Bruce R Dalgaard, Economics 110 or 111
ECON,264.0,Health Care Economics,Winter 2020,"SOC, QRE",4a,Nathan D Grawe, Economics  111
ECON,330.0,Intermediate Price Theory,Winter 2020,"SOC, QRE",2/3c,Jenny  Bourne, Economics 110 and 111 and Mathematics 111 
ECON,331.0,Intermediate Macro Theory,Winter 2020,"SOC, QRE",2/3c,Yaniv  Ben-Ami, Mathematics 111 and Mathematics 215 (or Mathematics 275 or permission of the instructor) and Economics 110 and 111
ECON,398.01,Advanced Research in Economics,Winter 2020,,Unable to determine class period,Faress Bhuiyan,"This course is designed to support majors in developing advanced skills in economic research and communication. Through a combination of class discussion, small group work, and/or one-on-one interactions with the professor, majors learn the process of constructing strong, theoretically-grounded arguments through primary research, secondary research, or both. Students will also learn and practice strategies for engaging critically with contemporary scholarship and effective techniques of peer review and the oral presentation of research."
ECON,398.02,Advanced Research in Economics,Winter 2020,,Unable to determine class period,Yaniv  Ben-Ami,"This course is designed to support majors in developing advanced skills in economic research and communication. Through a combination of class discussion, small group work, and/or one-on-one interactions with the professor, majors learn the process of constructing strong, theoretically-grounded arguments through primary research, secondary research, or both. Students will also learn and practice strategies for engaging critically with contemporary scholarship and effective techniques of peer review and the oral presentation of research."
ECON,398.03,Advanced Research in Economics,Winter 2020,,Unable to determine class period,Aaron M Swoboda,"This course is designed to support majors in developing advanced skills in economic research and communication. Through a combination of class discussion, small group work, and/or one-on-one interactions with the professor, majors learn the process of constructing strong, theoretically-grounded arguments through primary research, secondary research, or both. Students will also learn and practice strategies for engaging critically with contemporary scholarship and effective techniques of peer review and the oral presentation of research."
ECON,400.01,Integrative Exercise,Winter 2020,,Unable to determine class period,Faress Bhuiyan,
ECON,400.02,Integrative Exercise,Winter 2020,,Unable to determine class period,Yaniv  Ben-Ami,
ECON,400.03,Integrative Exercise,Winter 2020,,Unable to determine class period,Aaron M Swoboda,
ECON,110.01,Principles of Macroeconomics,Spring 2020,"SOC, QRE",4/5c,Lhakpa  Sherpa,
ECON,110.02,Principles of Macroeconomics,Spring 2020,"SOC, QRE",3a,Ethan L Struby,
ECON,110.03,Principles of Macroeconomics,Spring 2020,"SOC, QRE",2/3c,Faress Bhuiyan,
ECON,111.01,Principles of Microeconomics,Spring 2020,"SOC, QRE",4/5c,Aaron M Swoboda,
ECON,111.02,Principles of Microeconomics,Spring 2020,"SOC, QRE",2a,Jonathan M Lafky,
ECON,111.03,Principles of Microeconomics,Spring 2020,"SOC, QRE",4a,Prathi Seneviratne,
ECON,265.0,Game Theory and Economic Applications,Spring 2020,"SOC, QRE",4a,Jonathan M Lafky, Economics 111
ECON,271.0,Economics of Natural Resources and the Environment,Spring 2020,"SOC, QRE",4/5c,Mark T Kanazawa, Economics 111
ECON,276.0,Money and Banking,Spring 2020,"SOC, QRE",5a,Ethan L Struby, Economics 110 and 111
ECON,280.0,International Trade,Spring 2020,"SOC, QRE",2a,Prathi Seneviratne, Economics 111
ECON,281.0,International Finance,Spring 2020,"SOC, QRE",2/3c,Lhakpa  Sherpa, Economics 110
ECON,329.0,Econometrics,Spring 2020,"SOC, QRE",5a,Mark T Kanazawa," Mathematics 111 and either Mathematics 215 or 275, and Economics 110 and 111"
ECON,331.0,Intermediate Macro Theory,Spring 2020,"SOC, QRE",2/3c,Yaniv  Ben-Ami, Mathematics 111 and Mathematics 215 (or Mathematics 275 or permission of the instructor) and Economics 110 and 111
ECON,400.01,Integrative Exercise,Spring 2020,,Unable to determine class period,Faress Bhuiyan,Paper
ECON,400.02,Integrative Exercise,Spring 2020,,Unable to determine class period,Yaniv  Ben-Ami,Paper
ECON,400.03,Integrative Exercise,Spring 2020,,Unable to determine class period,Aaron M Swoboda,
EDUC,100.0,Will This Be on the Test? Standardized Testing and American Education,Fall 2019,"AI, WRC, IDS",2a,Jeff Snyder,Held for new first year students
EDUC,110.0,Introduction to Educational Studies,Fall 2019,"SOC, WRC, IDS",4a,Jeff Snyder,Sophomore Priority
EDUC,234.0,Educational Psychology,Fall 2019,SOC,2/3c,Deborah  Appleman,Extra Time Required
EDUC,110.0,Introduction to Educational Studies,Winter 2020,"SOC, WRC, IDS",2a,Jeff Snyder,Sophomore Priority
EDUC,262.0,Culturally Sustaining Pedagogy: Teaching and Learning in Diverse Classrooms,Winter 2020,IDS,2a,Deborah  Appleman,"This course focuses on the importance of integrating students' cultural backgrounds in all aspects of learning. We will study various theoretical perspectives on culturally relevant, responsive, and sustaining pedagogy and will explore several school sites that incorporate that perspective into their approach to teaching and learning. Students will design and teach culturally sustaining curriculum from their own disciplinary background in K-16 setting."
EDUC,110.0,Introduction to Educational Studies,Spring 2020,"SOC, WRC, IDS",2/3c,Deborah  Appleman,Sophomore Priority
EDUC,250.0,Fixing Schools: Politics and Policy in American Education,Spring 2020,"SOC, IDS",4/5c,Angela  Valenzuela,"How can we fix American public schools? What is ""broken"" about our schools? How should they be repaired? And who should lead the fix? This course will examine the two leading contemporary educational reform movements: accountability and school choice. With an emphasis on the nature of the teaching profession and the work of foundations, this course will analyze the policy agendas of different reform groups, exploring the dynamic interactions among the many different stakeholders responsible for shaping American education."
EDUC,338.0,Multicultural Education,Spring 2020,"SOC, IDS",1a,Angela  Valenzuela, 100 or 200-level Educational Studies course or instructor permission
EDUC,395.0,Senior Seminar,Spring 2020,,5a,Jeff Snyder,"This is a capstone seminar for educational studies minors. It focuses on a contemporary issue in American education with a different topic each year. Recent seminars have focused on the school to prison pipeline, youth activism, intellectual freedom in schools, and gender and sexuality in education. Senior seminars often incorporate off campus work with public school students and teachers. "
ENGL,100.01,"Literary Revision: Authority, Art, and Rebellion",Fall 2019,"AI, WRC",2a,Nancy J Cho,Held for new first year students
ENGL,100.02,How We Read: The History and Science of Reading,Fall 2019,"AI, WRC",3a,George G Shuffelton,"In recent years, a 500-year-old technology for reading (the printed book) has been challenged by a very new one (the LCD displays in our phones and tablets). At the same time, advances in cognitive neuroscience have deepened our understanding of reading as a mental process. This makes it a good moment to consider how we read now and how we read in the past. We will examine a variety of reading practices, including reading aloud and silent reading, as well as the emotional impact of reading. The course will emphasize the foundational skill of academic reading--“close” reading--but also consider “distant” and “surface” reading. In addition to relevant scholarship, we will read poetry and novels as we reflect on our own habits as readers."
ENGL,100.03,Rhetoric: Art of Persuasion,Fall 2019,"AI, WRC",4a,Timothy  Raylor,"Rhetoric\'s all around us: in political manifestos and legal pleadings; in professions of love and advertisements for dog food. We use it whenever we urge someone to believe what we say or do what we want. But how well do we understand the foundations and protocols of this art that teaches us ""to see the available means of persuasion?"" In this class we\'ll study the origins and theory of rhetoric (via Aristotle), examine exemplary instances (from Pericles to Trump), and consider the charges (via Plato) that it\'s all lies and trickery, while learning how to compose persuasive academic papers and presentations."
ENGL,100.04,Visions of the Waste Land,Fall 2019,"AI, WRC",3a,Gregory B Smith,Held for new first year students
ENGL,100.05,Literature and Science,Fall 2019,"AI, WRC",3a,Peter J Balaam,
ENGL,100.06,"Drama, Film, and Society",Fall 2019,"AI, WRC",2/3c,Pierre  Hecker,"With an emphasis on critical reading, writing, and the fundamentals of college-level research, this course will develop students' knowledge, understanding, and appreciation of the relationship between drama and film and the social and cultural contexts of which they are (or were) a part and product. The course explores the various ways in which these plays and movies (which might include anything and everything from Spike Lee to Tony Kushner to Christopher Marlowe) generate meaning, with particular attention to the social, historical, and political realities that contribute to that meaning. An important component of this course will be attending live performances in the Twin Cities. These "", ' events may be during the week and/or the weekend."
ENGL,100.08,Imagining a Self,Fall 2019,"AI, WRC",2/3c,Jessica L Leiman,Held for new first year students
ENGL,117.0,African American Literature,Fall 2019,"LAA, WRC, IDS",3a,Kofi  Owusu,
ENGL,144.0,Shakespeare I,Fall 2019,LAA,4/5c,Pierre  Hecker,Cross-listed with English 244
ENGL,160.01,Introduction to Creative Writing,Fall 2019,"ARP, WRC",2/3c,Gregory G Hewett,Sophomore Priority
ENGL,160.02,Introduction to Creative Writing,Fall 2019,"ARP, WRC",4/5c,Susan  Jaret McKinstry,Sophomore Priority
ENGL,216.0,Milton,Fall 2019,"LAA, WRC",2a,Timothy  Raylor,
ENGL,218.0,The Gothic Spirit,Fall 2019,"LAA, WRC",4/5c,Jessica L Leiman,"The eighteenth and early nineteenth century saw the rise of the Gothic, a genre populated by brooding hero-villains, vulnerable virgins, mad monks, ghosts, and monsters. In this course, we will examine the conventions and concerns of the Gothic, addressing its preoccupation with terror, sex, and the supernatural. As we situate this genre within its literary and historical context, we will consider its relationship to realism and Romanticism, and we will explore how it reflects the political and cultural anxieties of the age. Authors include Walpole, Radcliffe, Lewis, Austen, M. Shelley, and E. Bronte."
ENGL,234.0,Literature of the American South,Fall 2019,"LAA, WRC, IDS",2/3c,Elizabeth  McKinsey,
ENGL,236.0,American Nature Writing,Fall 2019,"LAA, WRC",3a,Michael J Kowalewski,
ENGL,237.0,Black British Literature,Fall 2019,"LAA, WRC, INS",4a,Corrine E Collins,"A survey of black British literature across Great Britain, focusing on regional identity and tensions between rural and urban spaces. This course examines the history of black British communities and their overlapping diasporas, and the ways the British nation state has defined black British identity. Readings include poetry, novels, and short stories by John Agard, Jackie Kay, George Lamming, Grace Nichols, Helen Oyeyemi, Samuel Selvon, and Zadie Smith, and foreground issues of race, ethnicity, gender, sexuality, and class."
ENGL,244.0,Shakespeare I,Fall 2019,"LAA, WRC",4/5c,Pierre  Hecker,Cross-listed with ENGL 144
ENGL,270.0,Short Story Workshop,Fall 2019,"ARP, WRC",4/5c,Gregory B Smith, One prior 6-credit English course
ENGL,295.0,Critical Methods,Fall 2019,"LAA, WRC",5/6c,Adriana  Estill, One English Foundations course and one prior 6 credit English course
ENGL,327.0,Victorian Novel,Fall 2019,"LAA, WRC, QRE",2/3c,Susan  Jaret McKinstry,"Puzzled about nineteenth century novels, Henry James asks, 'But what do such large loose baggy monsters with their queer elements of the accidental and the arbitrary, artistically mean?'' (“Preface,” "", '). What, indeed? Practicing close reading, surface reading, and distant reading, we will examine the prose, design, and illustrations of Victorian editions, and ask how big data might help us define and interpret the nineteenth century novel. Authors might include George Eliot, Charles Dickens, Emily Bronte, Charlotte Bronte, E.M. Forster, Lewis Carroll."
ENGL,350.0,The Postcolonial Novel: Forms and Contexts,Fall 2019,"LAA, WRC, INS",5a,Arnab  Chakladar, One English foundations course and one additional 6 credit English course
ENGL,366.0,The Carleton Miscellany,Fall 2019,"LAA, WRC",5a,Michael J Kowalewski,"An in-depth study of the ', ', a nationally renowned literary quarterly once described as “the nation’s most delightful magazine.” Published at the college for two decades, from 1960-1980, the ', 'featured the work of a dozen Pulitzer Prize winning authors and that of numerous Carleton faculty', ' The magazine had a cosmopolitan, international perspective but also reflected its origins in a small, leafy Midwestern college town. We will explore the significance of the', ' in the context of the history of “little magazines.” The class will include a variety of student research assignments, some of them from the Carleton archives. "
ENGL,395.0,"Dickinson, Moore, Bishop",Fall 2019,LAA,2a,Peter J Balaam,"An intensive study of lyric invention and innovation in Emily Dickinson, Marianne Moore, and Elizabeth Bishop, 1859 to 1969. Starting with formalist approaches to the poems and exploration of subjects these poets held in common (self, society, knowledge, loss, nature, gender, the senses, empiricism, arts of poetry), we will historicize and situate their poetic practice, reception, influence, and typical poetic effects in relation to specifics of place: Amherst, Brooklyn, Nova Scotia, Key West, and Brazil."
ENGL,109.0,Introduction to Rhetoric,Winter 2020,WRC,2/3c,George  Cusack,"English 109 is the single Carleton course devoted exclusively to the study and practice of expository prose. It is designed to provide students with the organizational and argumentative skills they will need in order to write effectively at the college level and beyond. All sections of the course feature diverse readings, weekly writing exercises and essays, and individual tutorials."
ENGL,112.0,Introduction to the Novel,Winter 2020,"LAA, WRC",4a,Jessica L Leiman,
ENGL,118.0,Introduction to Poetry,Winter 2020,"LAA, WRC",3a,Timothy  Raylor,
ENGL,136.0,Black Speculative Fiction,Winter 2020,"LAA, WRC, IDS",2a,Corrine E Collins,"This course introduces the black speculative tradition from the nineteenth century to ', ' (2018). We will situate our readings within the science fiction/fantasy genre to investigate the ways black authors construct narratives about technology and the future to advocate for racial, sexual, and gender equality. We will discuss dichotomies of human/alien life, blackness and technology, and purity and hybridity, in addition to cosmic narratives of gender and sexuality and interspecies tolerance. Course materials include works by Octavia Butler, Samuel R. Delaney, Ta-Nehisi Coates, and Janelle Monae."
ENGL,160.0,Introduction to Creative Writing,Winter 2020,"ARP, WRC",2a,Gregory G Hewett,Sophomore Priority
ENGL,202.0,The Bible as Literature,Winter 2020,"LAA, WRC",3a,Peter J Balaam,
ENGL,215.0,Modern American Literature,Winter 2020,"LAA, WRC",5a,Michael J Kowalewski,"A survey of some of the central movements and texts in American literature, from World War I to the present. Topics covered will include modernism, the Harlem Renaissance, the Beat generation and postmodernism."
ENGL,220.01,Arts of Oral Presentation,Winter 2020,,3a,Elizabeth  McKinsey,1st 5 weeks
ENGL,220.02,Arts of Oral Presentation,Winter 2020,,4a,Elizabeth  McKinsey,1st five weeks
ENGL,222.0,The Art of Jane Austen,Winter 2020,"LAA, WRC",2a,Susan  Jaret McKinstry,
ENGL,238.0,African Literature in English,Winter 2020,"LAA, INS",4a,Kofi  Owusu,
ENGL,248.0,Visions of California,Winter 2020,"LAA, WRC, IDS",3a,Michael J Kowalewski,Extra Time required.
ENGL,265.0,News Stories,Winter 2020,"ARP, WRC",4a,Susan  Jaret McKinstry,"This journalism course explores the process of moving from event to news story. Students will study and write different forms of journalism (including news, reviews, features, interviews, investigative pieces, and images), critique one another’s writing, and revise their pieces for a final portfolio of professional work."
ENGL,270.0,Short Story Workshop,Winter 2020,"ARP, WRC",Unable to determine class period,Gregory B Smith, One prior 6-credit English course
ENGL,271.0,Poetry Workshop,Winter 2020,"ARP, WRC",Unable to determine class period,Gregory G Hewett, One prior 6 credit English course
ENGL,279.07,London Program:  Urban Field Studies,Winter 2020,,Unable to determine class period,Constance  Walker,"A combination of background readings, guided site visits, and personal exploration will give students tools for understanding the history of multicultural London. Starting with the city's early history and moving to the present, students will gain an understanding of how the city has been defined and transformed over time and of the complex cultural narratives that shape its standing as a global metropolis."
ENGL,281.07,London Program: Romantic London,Winter 2020,,Unable to determine class period,Constance  Walker,"The Romantic era (1785-1830) was a time of extraordinary political, intellectual, and social volatility and vitality. With London as our classroom, we will explore the life of the great city at the hub of Romanticism by means of its magnificent public and domestic architecture, fashion and décor, dances, fine arts, journalism and political satire, and literature, including the poetry of Byron, Shelley, and Keats, the essays of Hazlitt and Lamb, and the novels of Austen. Field trips will include visits to the Tate Britain, the Victoria and Albert Museum, the British Library, Sir John Soane's Museum, the Pump Room and Costume Museum at Bath, and the Royal Pavilion at Brighton."
ENGL,282.07,London Program:  London Theater,Winter 2020,,Unable to determine class period,Constance  Walker,"Students will attend productions (at least two per week) of classic and contemporary plays in a range of London venues both on and off the West End, and will do related reading. We will also travel to Stratford-upon-Avon for a 3-day theater trip. Class discussions will focus on dramatic genres and themes, dramaturgy, acting styles, and design. Guest speakers may include actors, critics, and directors. Students will keep a theater journal and write several full reviews of plays."
ENGL,292.07,London Program: London Studies Project,Winter 2020,,Unable to determine class period,Constance  Walker,"In consultation with the director, students will work in pairs or groups of three to design an independent research project that demonstrates their knowledge of London. The projects will focus on particular London sites chosen by students—a street, a tube station, a city square, a store, a public artwork:  the possibilities are vast. Student groups will design a presentation format (e.g., digital slideshow, poster board, artistic collage, etc.) and present their projects at the end of term. "
ENGL,319.0,The Rise of the Novel,Winter 2020,"LAA, WRC",3a,Jessica L Leiman, One English foundations course and one other 6 credit English course
ENGL,352.0,Toni Morrison: Novelist,Winter 2020,"LAA, WRC, IDS",2a,Kofi  Owusu, One English foundations course and one other 6 credit English course or instructor permission
ENGL,400.0,Integrative Exercise,Winter 2020,,Unable to determine class period,Staff,
ENGL,109.0,Introduction to Rhetoric,Spring 2020,WRC,3a,Peter J Balaam,"English 109 is the single Carleton course devoted exclusively to the study and practice of expository prose. It is designed to provide students with the organizational and argumentative skills they will need in order to write effectively at the college level and beyond. All sections of the course feature diverse readings, weekly writing exercises and essays, and individual tutorials."
ENGL,115.0,The Art of Storytelling,Spring 2020,"LAA, WRC",2a,Kofi  Owusu,
ENGL,119.0,Introduction to U.S. Latino/a Literature,Spring 2020,"LAA, WRC, IDS",2a,Adriana  Estill,
ENGL,160.0,Introduction to Creative Writing,Spring 2020,"ARP, WRC",4a,Gregory B Smith,Sophomore Priority
ENGL,187.0,Murder,Spring 2020,"LAA, WRC",4/5c,Pierre  Hecker,"From the ancient Greeks to the Bible to the modern serial killer novel, murder has always been a preeminent topic of intellectual and artistic investigation. Covering a range of genres, including fiction, nonfiction, drama, and film, this transhistorical survey will explore why homicide has been the subject of such fierce attention from so many great minds. Works may include: the Bible, Shakespeare, De Quincey, Poe, Thompson, Capote, Tey, McGinniss, Auster, French, Malcolm, Wilder, and Morris, as well as critical, legal, and other materials. Warning: not for the faint-hearted. (May not be retaken as ENGL 395.)"
ENGL,214.0,Revenge Tragedy,Spring 2020,"LAA, WRC, INS",3a,Pierre  Hecker,2nd 5 Week.
ENGL,220.01,Arts of Oral Presentation,Spring 2020,,5a,Timothy  Raylor,1st 5 weeks
ENGL,220.02,Arts of Oral Presentation,Spring 2020,,2a,Timothy  Raylor,2nd 5 weeks
ENGL,225.0,'Public Offenders': Pre-Raphaelites and Bloomsbury Group,Spring 2020,"LAA, WRC, INS",2/3c,Susan  Jaret McKinstry,"Two exceptional groups of artists changed aesthetic and cultural history through their writings, art, politics, and lives. The Pre-Raphaelite Brotherhood began in 1847 when art students united to create “direct and serious and heartfelt” work; the Bloomsbury group began with Cambridge friends sharing their insistence on aesthetic lives. Critics said the PRB “extolled fleshliness as the supreme end of poetic and pictorial art,” and the Bloomsbury Group “painted in circles, lived in squares and loved in triangles.” We will study Dante Rossetti, Holman Hunt, John Millais, William Morris, Virginia Woolf, E.M. Forster, Roger Fry, Vanessa and Clive Bell."
ENGL,239.0,"Democracy: Politics, Race, & Sex in Nineteenth Century American Novels",Spring 2020,"LAA, WRC, IDS",2a,Elizabeth  McKinsey,"An important preoccupation of nineteenth century America was the nature of democracy and the proper balance of individualism and the social good. An experiment in government, democracy also raised new questions about gender, class, and race. Citizenship was contested; roles in the new, expanding nation were fluid; abolition and emancipation, the movement for women's rights, industrialization all caused ferment and anxiety. The course will explore the way these issues were imagined in fiction by such writers as Cooper, Hawthorne, Maria Sedgwick, Stowe, Tourgee, Henry Adams, Twain, Gilman, and Chesnutt."
ENGL,245.0,Bollywood Nation,Spring 2020,"LAA, WRC, INS",5a,Arnab  Chakladar,
ENGL,249.0,Irish Literature,Spring 2020,"LAA, WRC",4a,Constance  Walker,
ENGL,250.0,Indian Fiction 1880-1980,Spring 2020,"LAA, WRC, INS",3a,Arnab  Chakladar,In this course we will follow the various paths that the novel in India has taken since the late nineteenth century. Reading both works composed in English and some in translation we will probe in particular the ways in which questions of language and national/cultural identity are constructed and critiqued in the Indian novel. We will read some of the most celebrated Indian writers of the last 100 odd years as well as some who are not as well-known as they should be. The course will also introduce you to some fundamental concepts in postcolonial studies.
ENGL,285.0,Textual Technologies from Parchment to Pixel,Spring 2020,"HUM, WRC",3a,"Timothy  Raylor', 'Austin P Mason', 'George G Shuffelton","As readers, we rarely consider the technologies, practices, and transactions that deliver us our texts. This course introduces students to the material study of writing, manuscripts, books, printing, and digital media. It attends to the processes of copying, revision, editing, and circulation; familiarizes students with the disciplines of descriptive bibliography, paleography, and textual criticism; and introduces the principles of editing, in both print and electronic media. It offers hands-on practice in most of these areas."
ENGL,295.0,Critical Methods,Spring 2020,"LAA, WRC",4/5c,Peter J Balaam, One English Foundations course and one prior 6 credit English course
ENGL,323.0,English Romantic Poetry,Spring 2020,"LAA, WRC",2a,Constance  Walker, One English foundations course and one other 6 credit English course
ENGL,345.0,Queer Literature,Spring 2020,"LAA, WRC, IDS",5/6c,Corrine E Collins,"This course focuses on the relationship between literature and queer theory: how concepts of queerness have shaped, and been shaped by, literary art. Through the study of fiction, poetry, and essays, the class explores changing definitions of LGBTQ+ culture at the intersections of race, ability, size, class, and ethnicity. We will examine how queer political movements create radical spaces to rethink identity politics, and investigate queer literature’s', 'portrayal of queer themes and culture. Authors and theorists include: Judith Butler, Jack Halberstam, Audre Lorde, Jose Munoz, Leslie Feinberg, Michael Cunningham, James Baldwin, Carmen Maria Machado, and Roxane Gay."
ENGL,359.0,World Literature in the Twenty-First Century,Spring 2020,"LAA, WRC, INS",4a,Kofi  Owusu,"Our focus will be on contemporary writers who tend to localize the global and/or globalize the local in their decidedly textured fiction and nonfiction published since 2001. Selected writers include Zinzi Clemmons, Ta-Nehisi Coates, J.M. Coetzee, Junot Diaz, Esi Edugyan, Nuruddin Farah, Yaa Gyasi, Dinaw Mengestu, Chigozie Obioma, and Zadie Smith."
ENGL,370.0,Advanced Fiction Workshop,Spring 2020,"ARP, WRC",Unable to determine class period,Gregory B Smith,An advanced course in the writing of fiction. Students will write three to four short stories or novel chapters which will be read and critiqued by the class. 
ENGL,371.0,Advanced Poetry Workshop,Spring 2020,"ARP, WRC",Unable to determine class period,Gregory G Hewett,"For students with some experience in writing poetry, this workshop further develops craft and vision. Readings and exercises will be used to expand the poet's individual range, and to explore the power of poetic language. Over the ten weeks, each poet will write and revise a significant portfolio. "
ENGL,395.0,Seductive Fictions,Spring 2020,"LAA, WRC",4/5c,Jessica L Leiman,"Stories of virtue in distress and innocence ruined preoccupied English novelists of the eighteenth and nineteenth centuries. This course will focus on the English seduction novel, considering the following questions: What was the allure of the seduction plot? What does it reveal about sexual relations, gender, power, and class during this period? How does the seduction plot address and provoke concerns about novel-reading itself during a time when the novel was considered both an instrument of education and an agent of moral corruption? Authors include: Eliza Haywood, Samuel Richardson, Choderlos de Laclos, Thomas Hardy, and Bram Stoker."
ENGL,400.0,Integrative Exercise,Spring 2020,,Unable to determine class period,,
ENTS,120.52,Introduction to Geospatial Analysis & Lab,Fall 2019,"QRE, SOC",2a,Tsegaye H Nega,"Spatial data analysis using Geographic Information Systems (GIS), remote sensing, global positioning, and related technologies are increasingly important for understanding and analyzing a wide range of biophysical, social, and economic phenomena. This course serves as an overview and introduction to the concepts, algorithms, issues, and methods in describing, analyzing, and modeling geospatial data over a range of application areas."
ENTS,120.53,Introduction to Geospatial Analysis & Lab,Fall 2019,"QRE, SOC",2a,Tsegaye H Nega,"Spatial data analysis using Geographic Information Systems (GIS), remote sensing, global positioning, and related technologies are increasingly important for understanding and analyzing a wide range of biophysical, social, and economic phenomena. This course serves as an overview and introduction to the concepts, algorithms, issues, and methods in describing, analyzing, and modeling geospatial data over a range of application areas."
ENTS,215.0,Environmental Ethics,Fall 2019,HUM,5a,Kimberly K Smith,
ENTS,225.51,Carbon and Climate,Fall 2019,"LAB, QRE",2a,Dan Maxbauer,"This course will focus on the interconnections between the Earth’s carbon cycle and climate system. Particular interest will be given to how Earth system processes involved in the carbon cycle operate on geologic timescales and how these systems are responding to anthropogenic emissions. Required weekly laboratories will explore carbon cycle processes in local environments and will include outdoor field work, lab analyses, and computer modeling."
ENTS,395.0,Senior Seminar,Fall 2019,SOC,5/6c,George Vrtis, Completion of all other Environmental Studies core courses except comps
ENTS,310.0,Topics in Environmental Law and Policy,Winter 2020,SOC,3a,Kimberly K Smith,
ENTS,400.0,Integrative Exercise,Winter 2020,,4a,,
ENTS,244.0,Biodiversity Conservation and Development,Spring 2020,,4/5c,,
ENTS,254.0,Topics in Landscape Ecology,Spring 2020,,4/5c,,
